date,symbol,open,high,low,close,Volume ZEC,Volume USD
2/1/23 0:00,ZEC/USD,44.47,47,43.53,47,2834.841203,133237.5365
1/31/23 0:00,ZEC/USD,44,45.67,43.57,44.47,1523.959115,67770.46184
1/30/23 0:00,ZEC/USD,46.92,46.92,43.32,44,507.902857,22347.72571
1/29/23 0:00,ZEC/USD,44.89,47.5,44.89,46.92,741.747629,34802.79875
1/28/23 0:00,ZEC/USD,46.14,46.88,44.18,44.89,1276.507621,57302.42711
1/27/23 0:00,ZEC/USD,46.5,46.5,44.35,46.14,757.417614,34947.24871
1/26/23 0:00,ZEC/USD,45.22,46.5,44.62,46.5,1539.267859,71575.95544
1/25/23 0:00,ZEC/USD,44.44,45.5,43.78,45.22,649.223897,29357.90462
1/24/23 0:00,ZEC/USD,46.69,47.39,42.9,44.44,1561.192682,69379.40279
1/23/23 0:00,ZEC/USD,46.91,47.39,46.07,46.69,328.944061,15358.39821
1/22/23 0:00,ZEC/USD,47.4,48.67,46.17,46.91,240.797099,11295.79191
1/21/23 0:00,ZEC/USD,47.15,49.03,46.68,47.4,1352.59245,64112.88213
1/20/23 0:00,ZEC/USD,43.95,47.5,43.65,47.15,5085.900691,239800.2176
1/19/23 0:00,ZEC/USD,42.05,44.68,42.05,43.95,551.395268,24233.82203
1/18/23 0:00,ZEC/USD,44.03,45.4,41,42.05,1509.504017,63474.64391
1/17/23 0:00,ZEC/USD,42.45,45.05,41.71,44.03,1941.041435,85464.05438
1/16/23 0:00,ZEC/USD,44.57,45.56,41.48,42.45,2586.449703,109794.7899
1/15/23 0:00,ZEC/USD,46.74,46.74,43.99,44.57,385.218945,17169.20838
1/14/23 0:00,ZEC/USD,45.14,48,44.38,46.74,1268.233494,59277.23351
1/13/23 0:00,ZEC/USD,45.29,45.5,43.47,45.14,3220.628808,145379.1844
1/12/23 0:00,ZEC/USD,43.61,45.46,42.29,45.29,4025.83222,182329.9412
1/11/23 0:00,ZEC/USD,43.41,44,42.07,43.61,2548.426475,111136.8786
1/10/23 0:00,ZEC/USD,42.95,43.68,41.94,43.41,1822.280638,79105.2025
1/9/23 0:00,ZEC/USD,41.95,44.5,41.95,42.95,2522.447449,108339.1179
1/8/23 0:00,ZEC/USD,41.57,42,40.37,41.95,1654.653543,69412.71613
1/7/23 0:00,ZEC/USD,40.73,42,40.35,41.57,643.923808,26767.9127
1/6/23 0:00,ZEC/USD,39.52,41.06,38.48,40.73,401.683385,16360.56427
1/5/23 0:00,ZEC/USD,40.32,41,39.31,39.52,1058.680327,41839.04652
1/4/23 4:00,ZEC/USD,40.75,42.5,39.69,40.48,1627.580301,65884.45058
1/4/23 0:00,ZEC/USD,40.01,42.5,39.69,40.32,1860.711968,75023.90655
1/3/23 4:00,ZEC/USD,39.18,40.76,39.14,40.75,990.811308,40375.5608
1/3/23 0:00,ZEC/USD,39.43,40.3,39,40.01,920.178571,36816.34463
1/2/23 4:00,ZEC/USD,37.07,39.84,36.91,39.18,789.456222,30930.89478
1/2/23 0:00,ZEC/USD,36.95,39.84,36.23,39.43,762.870475,30079.98283
1/1/23 4:00,ZEC/USD,36.33,37.24,35.96,37.07,767.313111,28444.29702
1/1/23 0:00,ZEC/USD,36.71,37.3,35.96,36.95,762.673925,28180.80153
12/31/22 4:00,ZEC/USD,37.9,37.99,36.2,36.33,910.95107,33094.85237
12/31/22 0:00,ZEC/USD,37.66,38.04,36.63,36.71,801.635219,29428.02889
12/30/22 4:00,ZEC/USD,37.72,38.09,37,37.9,646.690395,24509.56597
12/30/22 0:00,ZEC/USD,37.94,38.1,37,37.66,743.402427,27996.5354
12/29/22 4:00,ZEC/USD,37.82,38.28,37.4,37.72,898.617892,33895.86689
12/29/22 0:00,ZEC/USD,37.37,38.28,37.32,37.94,947.157556,35935.15767
12/28/22 4:00,ZEC/USD,38.27,38.27,37,37.82,980.316631,37075.57498
12/28/22 0:00,ZEC/USD,38.78,38.82,37,37.37,857.097243,32029.72397
12/27/22 4:00,ZEC/USD,39.93,40.01,37.86,38.27,526.131394,20135.04845
12/27/22 0:00,ZEC/USD,40.28,40.4,37.86,38.78,497.46611,19291.73575
12/26/22 4:00,ZEC/USD,40.27,40.4,39.78,39.93,186.500292,7446.95666
12/26/22 0:00,ZEC/USD,39.88,40.33,39.78,40.28,242.197528,9755.716428
12/25/22 4:00,ZEC/USD,39.97,40.28,39.42,40.27,184.240835,7419.378425
12/25/22 0:00,ZEC/USD,39.61,40.28,39.42,39.88,149.299306,5954.056323
12/24/22 4:00,ZEC/USD,39.43,40.15,39,39.97,842.033336,33656.07244
12/24/22 0:00,ZEC/USD,39.41,39.99,39,39.61,816.696938,32349.36571
12/23/22 4:00,ZEC/USD,39.9,40.07,39.24,39.43,136.397759,5378.163637
12/23/22 0:00,ZEC/USD,39.44,40.07,39.09,39.41,347.753716,13704.97395
12/22/22 4:00,ZEC/USD,41.25,41.25,38.67,39.9,687.456768,27429.52504
12/22/22 0:00,ZEC/USD,41.36,41.69,38.67,39.44,993.82444,39196.43591
12/21/22 4:00,ZEC/USD,41.63,42.89,41,41.25,739.370522,30499.03403
12/21/22 0:00,ZEC/USD,42.15,42.89,41,41.36,1018.081389,42107.84625
12/20/22 4:00,ZEC/USD,42.24,42.88,41.41,41.63,914.384146,38065.812
12/20/22 0:00,ZEC/USD,42.02,42.88,41.52,42.15,725.992604,30600.58826
12/19/22 4:00,ZEC/USD,44.06,44.47,41.57,42.24,1127.050526,47606.61422
12/19/22 0:00,ZEC/USD,43.69,45.5,41.57,42.02,1708.68011,71798.73822
12/18/22 4:00,ZEC/USD,42.77,45.5,42.77,44.06,1150.01968,50669.8671
12/18/22 0:00,ZEC/USD,43.12,43.73,42.46,43.69,496.768875,21703.83215
12/17/22 4:00,ZEC/USD,41.01,43.22,40.7,42.77,353.934559,15137.78109
12/17/22 0:00,ZEC/USD,40.84,43.22,39.97,43.12,420.885882,18148.59923
12/16/22 4:00,ZEC/USD,45.64,45.64,39.97,41.01,2188.062634,89732.44862
12/16/22 0:00,ZEC/USD,45.82,46.34,40.11,40.84,2314.510371,94524.60355
12/15/22 4:00,ZEC/USD,46.74,46.74,45.64,45.64,436.336571,19914.4011
12/15/22 0:00,ZEC/USD,46.44,47.48,45.57,45.82,924.209943,42347.29959
12/14/22 4:00,ZEC/USD,46.89,47.61,45.57,46.74,969.844902,45330.55072
12/14/22 0:00,ZEC/USD,46.23,47.61,45.63,46.44,1086.225122,50444.29467
12/13/22 4:00,ZEC/USD,46.3,47.86,45.28,46.89,1370.556126,64265.37675
12/13/22 0:00,ZEC/USD,46.03,47.86,45.28,46.23,1820.290059,84152.00943
12/12/22 4:00,ZEC/USD,43.77,46.5,43.77,46.3,2447.661229,113326.7149
12/12/22 0:00,ZEC/USD,44.95,46.5,43.68,46.03,2317.253608,106663.1836
12/11/22 4:00,ZEC/USD,45.54,45.97,43.68,43.77,655.35566,28684.91724
12/11/22 0:00,ZEC/USD,45.49,45.97,44.89,44.95,140.238375,6303.714956
12/10/22 4:00,ZEC/USD,45.95,46.12,45.28,45.54,89.638061,4082.117298
12/10/22 0:00,ZEC/USD,45.44,46.12,45.35,45.49,1430.337387,65066.04773
12/9/22 4:00,ZEC/USD,45.07,46,45.07,45.95,1653.262636,75967.41812
12/9/22 0:00,ZEC/USD,44.76,46,44.76,45.44,326.079999,14817.07515
12/8/22 4:00,ZEC/USD,44.05,45.38,43.34,45.07,597.45409,26927.25584
12/8/22 0:00,ZEC/USD,43.48,45.11,43.34,44.76,752.892816,33699.48244
12/7/22 4:00,ZEC/USD,45.85,45.85,43.25,44.05,243.769395,10738.04185
12/7/22 0:00,ZEC/USD,46.08,46.29,43.25,43.48,517.127122,22484.68726
12/6/22 4:00,ZEC/USD,46.5,46.51,45.08,45.85,571.944472,26223.65404
12/6/22 0:00,ZEC/USD,46.42,46.51,45.08,46.08,719.730675,33165.1895
12/5/22 4:00,ZEC/USD,46.38,47.03,45.15,46.5,2049.199434,95287.77368
12/5/22 0:00,ZEC/USD,45.79,47.03,45.15,46.42,1892.792673,87863.43588
12/4/22 4:00,ZEC/USD,45.75,46.42,44.87,46.38,135.219032,6271.458704
