https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1.67521E+12,2/1/23 0:00,LTC/USD,94.1,102.4,93.79,100.28,10699.44844,1072940.69
1.67512E+12,1/31/23 0:00,LTC/USD,91.31,96.32,91.31,94.1,4886.78022,459846.0187
1.67504E+12,1/30/23 0:00,LTC/USD,94.94,95.97,88.41,91.31,6465.57483,590371.6377
1.67495E+12,1/29/23 0:00,LTC/USD,89.66,97.77,89.66,94.94,9404.28963,892843.2575
1.67486E+12,1/28/23 0:00,LTC/USD,88.92,89.91,87.28,89.66,3787.7691,339611.3775
1.67478E+12,1/27/23 0:00,LTC/USD,87.56,89.2,85.93,88.92,2651.35542,235758.5239
1.67469E+12,1/26/23 0:00,LTC/USD,89.38,89.89,86.9,87.56,2982.82828,261176.4442
1.6746E+12,1/25/23 0:00,LTC/USD,87.17,91.9,85.55,89.38,7797.75767,696963.5805
1.67452E+12,1/24/23 0:00,LTC/USD,90.01,91.4,86.24,87.17,4102.9878,357657.4465
1.67443E+12,1/23/23 0:00,LTC/USD,87.67,93.22,87.65,90.01,4426.5924,398437.5819
1.67435E+12,1/22/23 0:00,LTC/USD,88,90.02,86.58,87.67,2743.14395,240491.4301
1.67426E+12,1/21/23 0:00,LTC/USD,90.38,92.1,87.71,88,7053.69876,620725.4909
1.67417E+12,1/20/23 0:00,LTC/USD,84.23,91.19,83.13,90.38,6296.60745,569087.3813
1.67409E+12,1/19/23 0:00,LTC/USD,82.65,84.41,81.77,84.23,2552.15136,214967.7091
1.674E+12,1/18/23 0:00,LTC/USD,87.03,88.38,82.04,82.65,10034.56174,829356.5278
1.67391E+12,1/17/23 0:00,LTC/USD,85.97,89.36,84.55,87.03,3319.59064,288903.9734
1.67383E+12,1/16/23 0:00,LTC/USD,87.35,89.15,83.74,85.97,4729.94448,406633.3269
1.67374E+12,1/15/23 0:00,LTC/USD,87.87,88.69,85.42,87.35,2893.13298,252715.1658
1.67365E+12,1/14/23 0:00,LTC/USD,86.33,91.32,86.05,87.87,9037.55532,794129.986
1.67357E+12,1/13/23 0:00,LTC/USD,85.98,87.82,83.63,86.33,4314.09723,372436.0139
1.67348E+12,1/12/23 0:00,LTC/USD,84.17,87.51,81.2,85.98,10658.12069,916385.2169
1.6734E+12,1/11/23 0:00,LTC/USD,80.92,84.99,80,84.17,5104.51353,429646.9038
1.67331E+12,1/10/23 0:00,LTC/USD,81.64,82.74,79.57,80.92,3209.83414,259739.7786
1.67322E+12,1/9/23 0:00,LTC/USD,78.3,83.47,78.2,81.64,6894.85916,562896.3018
1.67314E+12,1/8/23 0:00,LTC/USD,76.26,78.77,75.13,78.3,5643.47072,441883.7574
1.67305E+12,1/7/23 0:00,LTC/USD,75.92,76.82,75.62,76.26,2021.13552,154131.7948
1.67296E+12,1/6/23 0:00,LTC/USD,74.11,76.5,72.42,75.92,5757.47119,437107.2127
1.67288E+12,1/5/23 0:00,LTC/USD,75.49,76.18,73.65,74.11,3670.19302,271998.0047
1.6728E+12,1/4/23 4:00,LTC/USD,77.47,77.56,74.36,75.74,4065.03362,307885.6464
1.67279E+12,1/4/23 0:00,LTC/USD,75.57,77.81,74.36,75.49,4874.11922,367947.2599
1.67272E+12,1/3/23 4:00,LTC/USD,75.62,77.81,73.67,77.47,5695.98972,441268.3236
1.6727E+12,1/3/23 0:00,LTC/USD,74.77,76.38,73.67,75.57,5169.95138,390693.2258
1.67263E+12,1/2/23 4:00,LTC/USD,70.86,78.2,70.21,75.62,8007.68846,605541.4013
1.67262E+12,1/2/23 0:00,LTC/USD,70.56,78.2,70.04,74.77,8042.27564,601320.9496
1.67255E+12,1/1/23 4:00,LTC/USD,69.43,71.4,69,70.86,2044.36856,144863.9562
1.67253E+12,1/1/23 0:00,LTC/USD,69.91,71.4,69,70.56,2007.8415,141673.2962
1.67246E+12,12/31/22 4:00,LTC/USD,67.96,70.99,67.56,69.43,6551.40141,454863.7999
1.67244E+12,12/31/22 0:00,LTC/USD,67.91,70.99,67.56,69.91,6395.52058,447110.8437
1.67237E+12,12/30/22 4:00,LTC/USD,67.1,68.64,66.01,67.96,2935.48673,199495.6782
1.67236E+12,12/30/22 0:00,LTC/USD,66.7,68.64,66.01,67.91,2971.14633,201770.5473
1.67229E+12,12/29/22 4:00,LTC/USD,66.34,67.46,65.84,67.1,6479.41587,434768.8049
1.67227E+12,12/29/22 0:00,LTC/USD,66.29,67.23,65.56,66.7,6478.59274,432122.1358
1.6722E+12,12/28/22 4:00,LTC/USD,68.48,68.6,65.56,66.34,4580.62999,303878.9935
1.67219E+12,12/28/22 0:00,LTC/USD,68.65,69.34,65.78,66.29,4715.47461,312588.8119
1.67211E+12,12/27/22 4:00,LTC/USD,70.38,70.67,67.72,68.48,5714.24932,391311.7934
1.6721E+12,12/27/22 0:00,LTC/USD,70.78,71.05,67.72,68.65,5745.30526,394415.2061
1.67203E+12,12/26/22 4:00,LTC/USD,69.06,71.5,68.62,70.38,5232.18601,368241.2514
1.67201E+12,12/26/22 0:00,LTC/USD,69.24,71.5,68.59,70.78,4914.1332,347822.3479
1.67194E+12,12/25/22 4:00,LTC/USD,65.82,69.85,65.38,69.06,2634.508,181939.1225
1.67193E+12,12/25/22 0:00,LTC/USD,65.73,69.85,65.38,69.24,2568.90293,177870.8389
1.67185E+12,12/24/22 4:00,LTC/USD,65.58,65.97,65.11,65.82,1726.30174,113625.1805
1.67184E+12,12/24/22 0:00,LTC/USD,65.71,65.97,65.11,65.73,1809.99124,118970.7242
1.67177E+12,12/23/22 4:00,LTC/USD,66.24,66.35,64.92,65.58,2529.44428,165880.9559
1.67175E+12,12/23/22 0:00,LTC/USD,66.16,66.6,64.92,65.71,2708.70906,177989.2723
1.67168E+12,12/22/22 4:00,LTC/USD,65.5,66.6,64.25,66.24,1629.11085,107912.3027
1.67167E+12,12/22/22 0:00,LTC/USD,65.4,66.56,64.25,66.16,3370.04832,222962.3969
